ID,Gender,Age,Cohort,Course Grade
1,1,19,3,2
2,1,20,10,-3
3,1,22,10,0
4,1,19,6,4
5,1,27,1,2
6,1,20,2,4
7,1,19,10,0
8,1,20,2,7
9,1,100,4,12
10,1,20,3,7
11,1,21,4,7
12,1,100,1,10
13,1,21,6,2
14,1,22,4,10
15,1,21,5,2
16,1,19,6,12
17,1,21,4,2
18,0,19,1,0
19,0,20,6,2
20,0,19,6,4
21,0,100,4,10
22,1,21,6,4
23,1,21,6,4
24,1,100,5,0
25,1,23,1,0
26,1,20,3,10
27,1,100,20,100
28,0,23,5,7
29,1,100,20,100
30,0,20,4,10
31,0,20,10,2
32,1,19,2,4
33,1,24,2,2
34,0,100,1,7
35,0,100,10,0
36,1,19,5,12
37,1,21,6,10
38,1,19,10,-3
39,1,22,6,4
40,1,20,2,4
41,0,20,10,4
42,1,21,3,2
43,1,35,1,4
44,1,21,10,-3
45,1,19,5,7
46,1,19,100,7
47,1,100,1,4
48,1,20,4,12
49,1,20,4,2
50,0,19,2,0
51,0,100,10,100
52,1,26,10,100
53,0,19,10,100
54,1,21,6,7
55,1,29,3,12
56,0,19,2,10
57,1,19,10,100
58,1,19,4,2
59,1,21,4,4
60,1,100,5,7
61,1,100,1,4
62,1,19,5,0
63,1,47,2,7
64,1,26,3,4
65,0,100,10,100
66,1,20,2,7
67,0,100,1,0
68,1,20,3,0
69,1,100,20,100
70,0,19,4,4
71,1,100,10,0
72,1,100,10,100
73,1,100,4,10
74,1,21,6,4
75,1,19,3,7
76,1,100,20,100
77,1,21,3,2
78,1,27,2,0
79,1,19,2,10
80,1,100,10,100
81,1,19,3,4
82,1,100,5,2
83,1,19,4,7
84,1,26,3,4
85,1,31,10,-3
86,0,21,2,2
87,0,18,5,0
88,1,22,10,2
89,1,19,6,10
90,1,22,10,-3
91,1,21,5,0
92,0,21,5,2
93,0,20,5,4
94,1,23,5,2
95,1,19,3,0
96,1,100,1,4
97,1,20,5,7
98,1,21,5,2
99,1,100,10,100
100,1,32,10,0
101,1,21,2,7
102,1,21,4,2
103,0,19,10,7
104,0,100,1,10
105,1,100,1,2
106,0,21,5,2
107,0,20,4,2
108,1,20,2,10
109,1,21,4,7
110,1,21,4,12
111,1,20,4,4
112,1,100,1,7
113,1,21,4,10
114,1,100,10,100
115,1,100,1,2
116,1,21,6,2
117,1,20,10,2
118,1,20,3,12
119,1,100,1,7
120,0,21,6,2
121,1,22,2,10
122,1,19,10,0
123,1,21,2,4
124,1,20,2,4
125,1,20,4,7
126,1,19,3,7
127,1,21,6,4
128,0,20,6,0
129,1,100,20,100
130,1,100,1,4
131,1,25,2,4
132,1,21,3,0
133,0,21,3,7
134,0,19,10,0
135,1,21,4,0
136,1,19,10,2
137,1,20,5,10
138,1,20,6,-3
139,1,20,4,7
140,1,24,6,2
141,1,20,6,7
142,1,100,1,4
143,1,20,4,12
144,1,20,4,2
145,1,20,6,2
146,1,19,2,2
147,1,19,5,2
148,0,100,10,-3
149,1,100,1,4
150,1,100,10,10
151,1,20,6,0
152,1,19,6,4
153,1,21,2,10
154,1,100,1,-3
155,1,20,4,2
156,0,22,10,-3
157,0,20,10,-3
158,1,22,2,0
159,1,21,6,0
160,0,29,1,0
161,1,21,5,4
162,1,100,10,2
163,0,100,1,-3
164,0,21,2,4
165,0,100,10,100
166,1,20,6,2
167,0,19,2,7
168,1,22,2,7
169,0,21,3,0
170,0,21,10,100
171,1,22,4,10
172,1,100,1,2
173,1,20,3,4
174,0,28,6,0
175,1,100,20,100
176,1,21,5,2
177,1,24,6,7
178,1,100,20,100
179,1,32,5,2
180,1,21,2,4
181,1,19,6,2
182,1,19,3,10
183,1,21,10,7
184,1,23,4,0
185,1,20,10,0
186,0,20,3,10
187,1,100,1,4